Latitude,Longitude,AQI
33.63003,-117.67593,25.444444444444443
33.6878,-84.2905,31.092307692307692
33.70853,-116.21537,32.9
33.739963,-81.853635,22.1
33.747236,-115.820124,18.6
33.750838,-90.734175,26.193548387096776
33.7784,-84.3914,35.6
33.79236,-118.17533,45.83606557377049
33.802241,-84.435618,30.3
33.82376,-118.18921,47.57142857142857
33.83062,-117.93845,36.63934426229508
33.85275,-116.54101,22.7
33.859662,-118.200707,56.225806451612904
33.901389,-118.205,50.666666666666664
33.918137,-83.344385,33.05
33.944713,-116.830074,12.09375
33.9632,-84.0691,41.43333333333333
33.991494,-85.992647,29.375
33.99636,-117.4924,49.5
33.99958,-117.41601,38.656716417910445
34.01029,-118.0685,40.06666666666667
34.015436,-84.607423,31.0
34.030833,-117.61722,53.083333333333336
34.051017,-81.15495,24.12727272727273
34.06659,-118.22688,40.94285714285714
34.093959,-80.962304,29.333333333333332
34.10002,-117.49201,38.2
34.106678,-117.274063,35.333333333333336
34.1326,-118.1272,26.2
34.1365,-117.92391,23.5
34.19925,-118.53276,32.6
34.210169,-118.870509,26.26923076923077
34.214263,-79.767347,31.0
34.2439,-113.5586,13.35483870967742
34.244189,-97.462931,27.967741935483872
34.25239,-119.143182,21.666666666666668
34.26464,-116.86147,31.2
34.276316,-118.683685,25.54901960784314
34.288567,-85.969858,26.666666666666668
34.2993,-83.8134,37.666666666666664
34.364167,-77.838611,14.517241379310345
34.404281,-118.80998,11.24
34.427775,-119.691218,26.612903225806452
34.44551,-119.8284,17.967741935483872
34.44806,-119.2313,29.516129032258064
34.469441,-93.000178,25.166666666666668
34.510961,-117.32554,26.016129032258064
34.518515,-91.55896,28.8
34.530717,-86.967536,25.625
34.583699,-94.226234,25.6
34.615367,-80.198787,20.77777777777778
34.63298,-98.42879,29.870967741935484
34.63782,-120.4575,14.03225806451613
34.669739,-118.130511,18.29032258064516
34.681343,-92.328697,32.8
34.68547,-86.58816,24.333333333333332
34.751848,-82.256701,22.785714285714285
34.756189,-92.281296,31.848484848484848
34.762619,-87.638097,23.444444444444443
34.805261,-83.2377,12.347826086956522
34.82056,-89.98778,29.870967741935484
34.843895,-82.414585,28.311475409836067
34.885608,-95.78441,26.305555555555557
34.9127,-80.8745,28.612903225806452
34.942872,-120.435611,17.161290322580644
34.955566,-81.924797,28.545454545454547
34.9788,-85.3009,33.78048780487805
34.99438,-85.24293,27.9
35.01708,-106.65739,35.35087719298246
35.02083,-120.56388,28.967741935483872
35.041416,-78.953112,29.894736842105264
35.04673,-120.58777,15.870967741935484
35.050551,-118.147294,11.548387096774194
35.050918,-85.293019,28.941176470588236
35.115968,-87.469954,18.0
35.116878,-87.419725,21.352941176470587
35.1343,-106.5852,24.59016393442623
35.1443,-106.60468,27.741935483870968
35.151194,-90.041559,30.1
35.151283,-80.866983,31.193548387096776
35.151699,-89.850249,27.066666666666666
